p_Pa,pressure_ratio_local,T_is_K,rho_is_kg_m3,h_is_J_kg,a_is_m_s,c_is_m_s,Ma_is,T_act_K,rho_act_kg_m3,h_act_J_kg,s_act_J_kgK,a_act_m_s,c_act_m_s,Ma_act
2500000.0,5.2631578947368425,423.15000000104385,152.2000505632256,492784.4857956293,111.33486433892622,0.0,0.0,423.15000000115595,152.2000505629978,492784.4857956293,1792.1748252677228,111.33486433906424,0.0,0.0
2494924.812030075,5.252473288484369,423.02919571365896,151.79084257440132,492751.09537207027,111.3978880557203,8.171954714598153,0.07335825532446906,423.02919571376276,151.79084257419166,492751.09537207027,1792.1748252674442,111.39788805584783,8.171954714598153,0.07335825532438509
2489849.6240601502,5.2417886822318955,422.9082799855185,151.3820979852735,492717.6148619435,111.46108617075235,11.564681755713178,0.10375532980179926,422.9082799856146,151.38209798508052,492717.6148619435,1792.1748252671864,111.46108617087009,11.564681755713178,0.10375532980168967
2484774.4360902254,5.231104075979422,422.7872526601577,150.97381728394302,492684.0438807881,111.52445800795469,14.17334916037161,0.1270873619431593,422.7872526602467,150.97381728376538,492684.0438807881,1792.1748252669438,111.52445800806349,14.17334916037161,0.12708736194303533
2479699.248120301,5.2204194697269495,422.6661135772165,150.56600094882555,492650.3820419628,111.58800288769912,16.377041981760414,0.14676346522880312,422.66611357729903,150.5660009486614,492650.3820419628,1792.1748252667187,111.58800288780009,16.377041981760414,0.14676346522867034
2474624.060150376,5.209734863474476,422.54486257240603,150.15864944867164,492616.6289566246,111.65172012683614,18.322490953709927,0.164103973793647,422.5448625724823,150.1586494485211,492616.6289566246,1792.1748252665066,111.65172012692902,18.322490953709927,0.1641039737935105
2469548.872180451,5.1990502572220025,422.4234994774785,149.751763242581,492582.7842337134,111.71560903873967,20.084897823269237,0.1797859582567767,422.42349947754906,149.75176324244228,492582.7842337134,1792.1748252663099,111.71560903882559,20.084897823269237,0.17978595825663843
2464473.6842105263,5.188365650969529,422.30202412019514,149.3453427800175,492548.8474799332,111.77966893335164,21.708906654450125,0.19421158482222745,422.3020241202606,149.3453427798899,492548.8474799332,1792.1748252661257,111.77966893343084,21.708906654450125,0.19421158482208983
2459398.4962406014,5.177681044717056,422.1804363242959,148.93938850082628,492514.8182997339,111.84389911722637,23.223586900609114,0.2076428583401576,422.1804363243565,148.93938850070907,492514.8182997339,1792.174825265953,111.84389911729936,23.223586900609114,0.2076428583400221
2454323.3082706765,5.166996438464582,422.05873590946703,148.53390083525127,492480.696295294,111.9082988935754,24.649117578729243,0.22026174843539092,422.0587359095231,148.5339008351433,492480.696295294,1792.1748252657915,111.90829889364295,24.649117578729243,0.22026174843525798
