Quantity,Value,Unit
fluid,R1233zd(E),-
pressure_ratio,5.2631578947368425,-
dh_stage_is,31.616963865786673,kJ/kg
U_over_c_is,0.3123307917265581,-
Ma_nozzle_out_is,1.7744823908831753,-
Ma_nozzle_out,1.6407861990003085,-
A_throat,462.464128488424,mm^2
A_outlet_actual,923.4860263559548,mm^2
A_ratio_actual,1.9968814216453779,-
h_nozzle,9.668415426819466,mm
h_rotor,9.968415426819467,mm
D_hub,490.0315845731805,mm
D_tip,509.9684154268195,mm
n_nozzles,18,-
n_rotor_blades,63,-
c1a,46.84155122724613,m/s
c1u,230.23357986088084,m/s
c2a,48.952420738638764,m/s
c2u,-26.43898870996162,m/s
P_mech,93.53376030390592,kW
eta_turb,0.5887245758822075,-
